,height,weight,day,lastDayEmptied,trashDayTarget
0,0,0,mon,mon,tues
1,3,4,mon,mon,tues
2,4,6,mon,mon,tues
3,6,8,mon,mon,tues
4,7,12,mon,mon,tues
5,11,15,mon,mon,tues
6,12,16,mon,mon,tues
7,15,17,mon,mon,tues
8,19,18,mon,mon,tues
9,20,20,mon,mon,tues
10,21,24,mon,mon,tues
11,24,25,mon,mon,tues
12,27,26,mon,mon,tues
13,28,30,tues,mon,tues
14,29,33,tues,mon,tues
15,31,34,tues,mon,tues
16,32,37,tues,mon,tues
17,36,40,tues,mon,tues
18,37,44,tues,mon,tues
19,39,45,tues,mon,tues
20,42,48,tues,mon,tues
21,45,51,tues,mon,tues
22,48,54,tues,mon,tues
23,49,57,tues,mon,tues
24,52,60,tues,mon,tues
25,55,61,tues,mon,tues
26,59,62,tues,mon,tues
27,61,66,tues,mon,tues
28,64,70,tues,mon,tues
29,68,73,tues,mon,tues
30,71,76,tues,mon,tues
31,75,77,tues,mon,tues
32,78,80,tues,mon,tues
33,0,0,tues,tues,sun
34,3,3,tues,tues,sun
35,5,4,tues,tues,sun
36,9,5,tues,tues,sun
37,13,7,tues,tues,sun
38,17,11,tues,tues,sun
39,18,15,tues,tues,sun
40,19,18,tues,tues,sun
41,23,20,tues,tues,sun
42,26,22,tues,tues,sun
43,27,26,wed,tues,sun
44,28,28,wed,tues,sun
45,29,32,wed,tues,sun
46,31,36,thur,tues,sun
47,33,37,thur,tues,sun
48,34,41,thur,tues,sun
49,36,42,thur,tues,sun
50,38,43,thur,tues,sun
51,41,45,thur,tues,sun
52,45,48,thur,tues,sun
53,46,50,thur,tues,sun
54,50,53,thur,tues,sun
55,54,57,thur,tues,sun
56,55,59,thur,tues,sun
57,57,63,thur,tues,sun
58,59,64,thur,tues,sun
59,61,66,thur,tues,sun
60,62,69,fri,tues,sun
61,64,71,fri,tues,sun
62,65,75,sun,tues,sun
63,68,76,sun,tues,sun
64,71,79,sun,tues,sun
65,75,80,sun,tues,sun
66,0,0,sun,sun,thur
67,1,2,mon,sun,thur
68,5,6,mon,sun,thur
69,7,10,mon,sun,thur
70,9,11,tues,sun,thur
71,12,15,tues,sun,thur
72,15,18,tues,sun,thur
73,16,20,tues,sun,thur
74,20,22,tues,sun,thur
75,24,23,tues,sun,thur
76,25,24,tues,sun,thur
77,26,28,tues,sun,thur
78,28,32,tues,sun,thur
79,30,33,tues,sun,thur
80,33,35,tues,sun,thur
81,36,37,tues,sun,thur
82,38,38,tues,sun,thur
83,41,41,tues,sun,thur
84,43,43,tues,sun,thur
85,44,45,tues,sun,thur
86,47,48,tues,sun,thur
87,50,52,tues,sun,thur
88,53,55,tues,sun,thur
89,55,58,tues,sun,thur
90,59,60,tues,sun,thur
91,60,62,tues,sun,thur
92,61,66,tues,sun,thur
93,62,68,tues,sun,thur
94,66,69,tues,sun,thur
95,67,71,tues,sun,thur
96,71,72,wed,sun,thur
97,72,73,wed,sun,thur
98,73,77,thur,sun,thur
99,75,78,thur,sun,thur
100,77,81,thur,sun,thur
101,0,0,thur,thur,mon
102,2,4,thur,thur,mon
103,5,7,thur,thur,mon
104,8,9,thur,thur,mon
105,12,11,thur,thur,mon
106,13,12,thur,thur,mon
107,14,13,thur,thur,mon
108,16,14,thur,thur,mon
109,19,16,fri,thur,mon
110,23,19,fri,thur,mon
111,24,20,fri,thur,mon
112,27,21,fri,thur,mon
113,30,25,fri,thur,mon
114,31,29,fri,thur,mon
115,34,30,fri,thur,mon
116,38,32,fri,thur,mon
117,39,33,fri,thur,mon
118,43,37,fri,thur,mon
119,45,38,fri,thur,mon
120,48,40,fri,thur,mon
121,52,44,fri,thur,mon
122,53,48,fri,thur,mon
123,56,52,fri,thur,mon
124,58,53,fri,thur,mon
125,59,56,sun,thur,mon
126,63,57,sun,thur,mon
127,67,59,sun,thur,mon
128,70,63,sun,thur,mon
129,72,66,sun,thur,mon
130,73,67,sun,thur,mon
131,77,69,sun,thur,mon
132,79,73,sun,thur,mon
133,81,77,sun,thur,mon
134,0,0,mon,mon,thur
135,1,4,mon,mon,thur
136,5,7,mon,mon,thur
137,6,11,mon,mon,thur
138,7,12,mon,mon,thur
139,8,16,mon,mon,thur
140,9,17,mon,mon,thur
141,12,21,mon,mon,thur
142,14,22,mon,mon,thur
143,15,24,mon,mon,thur
144,18,27,mon,mon,thur
145,22,29,mon,mon,thur
146,25,31,mon,mon,thur
147,27,35,tues,mon,thur
148,29,38,tues,mon,thur
149,30,41,tues,mon,thur
150,32,43,tues,mon,thur
151,35,45,tues,mon,thur
152,37,46,tues,mon,thur
153,39,47,tues,mon,thur
154,41,49,tues,mon,thur
155,44,50,tues,mon,thur
156,45,53,tues,mon,thur
157,47,55,tues,mon,thur
158,48,59,tues,mon,thur
159,52,63,wed,mon,thur
160,53,66,wed,mon,thur
161,54,68,wed,mon,thur
162,57,72,wed,mon,thur
163,60,76,wed,mon,thur
164,61,78,wed,mon,thur
165,63,80,wed,mon,thur
166,0,0,thur,thur,sun
167,3,4,thur,thur,sun
168,7,8,fri,thur,sun
169,8,11,fri,thur,sun
170,9,14,fri,thur,sun
171,11,18,fri,thur,sun
172,12,22,fri,thur,sun
173,15,25,fri,thur,sun
174,16,29,fri,thur,sun
175,18,33,fri,thur,sun
176,20,37,fri,thur,sun
177,21,39,fri,thur,sun
178,24,41,fri,thur,sun
179,28,42,fri,thur,sun
180,31,45,fri,thur,sun
181,35,48,fri,thur,sun
182,38,51,fri,thur,sun
183,42,52,fri,thur,sun
184,43,53,fri,thur,sun
185,44,55,fri,thur,sun
186,47,56,fri,thur,sun
187,48,59,fri,thur,sun
188,51,62,fri,thur,sun
189,53,66,fri,thur,sun
190,55,70,fri,thur,sun
191,58,71,fri,thur,sun
192,62,73,fri,thur,sun
193,64,75,fri,thur,sun
194,68,76,sun,thur,sun
195,71,78,sun,thur,sun
196,73,82,sun,thur,sun
197,0,0,sun,sun,tues
198,4,4,sun,sun,tues
199,6,5,sun,sun,tues
200,8,6,sun,sun,tues
201,9,10,sun,sun,tues
202,13,11,sun,sun,tues
203,16,13,mon,sun,tues
204,20,16,mon,sun,tues
205,24,20,mon,sun,tues
206,28,22,mon,sun,tues
207,30,25,mon,sun,tues
208,31,27,mon,sun,tues
209,32,30,mon,sun,tues
210,36,33,mon,sun,tues
211,37,34,mon,sun,tues
